,0
1419,201892_s_at
1420,201893_x_at
1421,201894_s_at
1422,201895_at
1423,201896_s_at
1424,201897_s_at
1425,201898_s_at
1426,201899_s_at
1427,201900_s_at
1428,201901_s_at
1429,201902_s_at
1430,201903_at
1431,201904_s_at
1432,201905_s_at
1433,201906_s_at
1434,201907_x_at
1435,201908_at
1436,201909_at
1437,201910_at
1438,201911_s_at
1439,201912_s_at
1440,201913_s_at
1441,201914_s_at
1442,201915_at
1443,201916_s_at
1444,201917_s_at
1445,201918_at
1446,201919_at
1447,201920_at
1448,201921_at
1449,201922_at
1450,201923_at
1451,201924_at
1452,201925_s_at
1453,201926_s_at
1454,201927_s_at
1455,201928_at
1456,201929_s_at
1457,201930_at
1458,201931_at
1459,201932_at
1460,201933_at
1461,201934_at
1462,201935_s_at
1463,201936_s_at
1464,201937_s_at
1465,201938_at
1466,201939_at
1467,201940_at
1468,201941_at
1469,201942_s_at
1470,201943_s_at
1471,201944_at
1472,201945_at
1473,201946_s_at
1474,201947_s_at
1475,201948_at
1476,201949_x_at
1477,201950_x_at
1478,201951_at
1479,201952_at
1480,201953_at
1481,201954_at
1482,201955_at
1483,201956_s_at
1484,201957_at
1485,201958_s_at
1486,201959_s_at
1487,201960_s_at
1488,201961_s_at
1489,201962_s_at
1490,201963_at
1491,201964_at
1492,201965_s_at
1493,201966_at
1494,201967_at
1495,201968_s_at
1496,201969_at
1497,201970_s_at
1498,201971_s_at
1499,201972_at
1500,201973_s_at
1501,201974_s_at
1502,201975_at
1503,201976_s_at
1504,201977_s_at
1505,201978_s_at
1506,201979_s_at
1507,201980_s_at
1508,201981_at
1509,201982_s_at
1510,201983_s_at
1511,201984_s_at
1512,201985_at
1513,201986_at
1514,201987_at
1515,201988_s_at
1516,201989_s_at
1517,201990_s_at
1518,201991_s_at
1519,201992_s_at
1520,201993_x_at
1521,201994_at
1522,201995_at
1523,201996_s_at
1524,201997_s_at
1525,201998_at
1526,201999_s_at
1527,202000_at
1528,202001_s_at
1529,202002_at
1530,202003_s_at
1531,202004_x_at
1532,202005_at
1533,202006_at
1534,202007_at
1535,202008_s_at
1536,202009_at
1537,202010_s_at
1538,202011_at
1539,202012_s_at
1540,202013_s_at
1541,202014_at
1542,202015_x_at
1543,202016_at
1544,202017_at
1545,202018_s_at
1546,202019_s_at
1547,202020_s_at
1548,202021_x_at
1549,202022_at
1550,202023_at
1551,202024_at
1552,202025_x_at
1553,202026_at
1554,202027_at
1555,202028_s_at
1556,202029_x_at
1557,202030_at
1558,202031_s_at
1559,202032_s_at
1560,202033_s_at
1561,202034_x_at
1562,202035_s_at
1563,202036_s_at
1564,202037_s_at
1565,202038_at
1566,202039_at
1567,202040_s_at
1568,202041_s_at
1569,202042_at
1570,202043_s_at
1571,202044_at
1572,202045_s_at
1573,202046_s_at
1574,202047_s_at
1575,202048_s_at
1576,202049_s_at
1577,202050_s_at
1578,202051_s_at
1579,202052_s_at
1580,202053_s_at
1581,202054_s_at
1582,202055_at
1583,202056_at
1584,202057_at
1585,202058_s_at
1586,202059_s_at
1587,202060_at
1588,202061_s_at
1589,202062_s_at
1590,202063_s_at
1591,202064_s_at
1592,202065_s_at
1593,202066_at
1594,202067_s_at
1595,202068_s_at
1596,202069_s_at
1597,202070_s_at
1598,202071_at
1599,202072_at
1600,202073_at
1601,202074_s_at
1602,202075_s_at
1603,202076_at
1604,202077_at
1605,202078_at
1606,202079_s_at
1607,202080_s_at
1608,202081_at
1609,202082_s_at
1610,202083_s_at
1611,202084_s_at
1612,202085_at
1613,202086_at
1614,202087_s_at
1615,202088_at
1616,202089_s_at
1617,202090_s_at
1618,202091_at
1619,202092_s_at
1620,202093_s_at
1621,202094_at
1622,202095_s_at
1623,202096_s_at
1624,202097_at
1625,202098_s_at
